cluster_id,label,keywords
0,xxxx | to | and | the,"xxxx, to, and, the, xxxx xxxx, they"
1,xxxx | the | to | and,"xxxx, the, to, and, loans, loan"
2,the | car | xxxx | to,"the, car, xxxx, to, and, vehicle"
3,xxxx | xxxx xxxx | the | to,"xxxx, xxxx xxxx, the, to, of, consumer"
4,the | xxxx | to | and,"the, xxxx, to, and, xx, my"
5,xxxx | xxxx xxxx | credit | report,"xxxx, xxxx xxxx, credit, report, my credit, credit report"
6,card | the | xxxx | to,"card, the, xxxx, to, and, credit"
7,xxxx | to | the | coinbase,"xxxx, to, the, coinbase, xx, and"
8,wells | fargo | wells fargo | xxxx,"wells, fargo, wells fargo, xxxx, the, to"
9,xxxx | xxxx xxxx | identity | theft,"xxxx, xxxx xxxx, identity, theft, identity theft, my"
10,section | 1681 section | xxxx | 1681,"section, 1681 section, xxxx, 1681, 15, states"
11,xxxx | xxxx xxxx | inquiries | credit,"xxxx, xxxx xxxx, inquiries, credit, inquiry, xx"
12,xxxx | the | to | xx,"xxxx, the, to, xx, and, xxxx xxxx"
13,paypal | to | account | my,"paypal, to, account, my, xxxx, and"
14,late | the | the bureau | bureau to,"late, the, the bureau, bureau to, documents want, attached documents"
15,the | to | xxxx | and,"the, to, xxxx, and, xx, payment"
16,xxxx | the | card | to,"xxxx, the, card, to, and, my"
17,xxxx | the | to | and,"xxxx, the, to, and, mortgage, xxxx xxxx"
18,xxxx | the | to | loan,"xxxx, the, to, loan, loans, my"
19,xxxx | the | to | xxxx xxxx,"xxxx, the, to, xxxx xxxx, and, xx"
20,xxxx | the | to | xx,"xxxx, the, to, xx, xxxx xxxx, and"
21,the | xxxx | to | and,"the, xxxx, to, and, my, xx"
22,xxxx | the | debt | to,"xxxx, the, debt, to, xxxx xxxx, and"
23,late | payment | payments | the,"late, payment, payments, the, my, late payment"
24,consumer | 15 | xxxx | xxxx xxxx,"consumer, 15, xxxx, xxxx xxxx, section, consumer reporting"
25,debt | xxxx | the | to,"debt, xxxx, the, to, xxxx xxxx, and"
26,xxxx | the | to | xxxx xxxx,"xxxx, the, to, xxxx xxxx, credit, and"
27,xxxx | the | escrow | to,"xxxx, the, escrow, to, mortgage, xx"
28,xxxx | the | to | and,"xxxx, the, to, and, my, xxxx xxxx"
29,xxxx | xxxx xxxx | credit | account,"xxxx, xxxx xxxx, credit, account, report, accounts"
